X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-8.124448776245117 1185.7342529296875 1596.8365478515625 8.716125562912277 248945.0 91546.0 0.8360000000000006
-8.54037857055664 1183.2427978515625 1596.2099609375 7.517080081376615 101872.0 101872.0 0.0
-8.598786354064941 1182.97900390625 1596.2379150390625 7.428295146017987 249014.0 210630.0 0.20000000000000015
-8.617314338684082 1182.8980712890625 1596.239013671875 7.397073210950836 249014.0 152645.0 0.09200000000000005
-8.749553680419922 1182.226318359375 1596.1820068359375 7.100240112556824 249011.0 153758.0 0.2960000000000002
-8.799276351928711 1181.8895263671875 1596.17578125 6.979253937729432 249011.0 249065.0 0.20800000000000016
-8.303075790405273 1180.0157470703125 1595.841064453125 5.7674170992450335 170142.0 170142.0 0.0
-8.303016662597656 1180.0155029296875 1595.841064453125 5.767243595790404 170144.0 170142.0 0.9960000000000008
-8.288386344909668 1179.9532470703125 1595.8531494140625 5.724041235587704 170144.0 170144.0 0.0
-8.282449722290039 1179.9259033203125 1595.851318359375 5.707194189596497 152447.0 249063.0 0.028
-7.828269004821777 1178.4000244140625 1595.792236328125 4.79596344602132 142032.0 126572.0 0.3960000000000003
-7.708591938018799 1177.925537109375 1595.7730712890625 4.571713665743227 102001.0 170137.0 0.6840000000000005
-7.518240928649902 1177.4439697265625 1595.838134765625 4.303961733287011 168324.0 144411.0 0.7240000000000005
-7.35078239440918 1176.961181640625 1595.9161376953125 4.064783609082983 144108.0 101977.0 0.6800000000000005
-7.145330905914307 1176.4505615234375 1596.01025390625 3.8403566586683855 144151.0 168318.0 0.22000000000000017
-7.012847900390625 1176.068115234375 1596.0975341796875 3.6917439471719287 168332.0 168328.0 0.8680000000000007
-6.9796366691589355 1175.986083984375 1596.1202392578125 3.6600279422269866 168333.0 168330.0 0.7880000000000006
-6.836491584777832 1175.5892333984375 1596.269775390625 3.5080472672914698 168303.0 168303.0 0.0
-6.789612770080566 1175.4078369140625 1596.3389892578125 3.4418621276413806 168325.0 168322.0 0.9680000000000007
-6.774689197540283 1175.2117919921875 1596.3975830078125 3.3523901428895493 168323.0 168323.0 0.0
-6.740954875946045 1174.4530029296875 1596.5184326171875 3.0442642097944064 102021.0 102021.0 0.0
-6.7298359870910645 1174.3050537109375 1596.5322265625 2.993609640806723 152448.0 152230.0 0.34400000000000025
-6.752286434173584 1173.933837890625 1596.6043701171875 2.859979611198948 152230.0 153111.0 0.5040000000000003
-6.769542694091797 1173.50146484375 1596.7049560546875 2.7200488899093376 72725.0 72725.0 0.0
